Barcode,Name,Price
085592121043,Tequila Rose 750ml,$23.99 
08257402,Ciroc Brandy 375ml,$21.99 
085592103513,McCormick Gin 1.75L,$13.99 
085000014332,New Amsterdam Gin 200ml,$4.59 
080432401231,✨Seagram Gin - 750ml,$14.99 
018200250019,Bud light 25oz can,$3.59 
086024015435,Ryans Irish Cream 750ml,$11.99 
096749001361,Lunazul Silver 375ml ,$12.99 
673869990913,✨Ares Vodka - 750ml      ,$5.99 
082000771586,Crown Royal Apple 1L,$40.99 
01824421,Bud Ice 40oz,$3.29 
08509822,Sutter Home Pink Moscato 1.5L,$10.99 
031200009913,OS Cran Grape,$2.69 
085676565084,Calypso Gold Rum 750ml,$6.99 
,Soda 1L,$3.29 
082184090428,Jack Daniels 1.75L,$49.99 
080660957777,✨Modelo Especial Bottle Beer -  24oz ,$3.59 
080432116777,Seagrams Watermelon 100ml ,$2.29 
088076173774,Ciroc 200ml,$12.99 
089540448992,Malibu Glass 750ml,$19.99 
088110011307,Johnnie Walker Black Label 750 ml,$41.99 
08256102,Smirnoff 375ml,$8.99 
021296620031,Paul Masson Peach 200ml,$3.99 
070847811169,Monster Green Halo,$2.99 
031200009906,OS Cranberry 15.2oz,$2.69 
085676563806,Calypso Spiced Rum 750ml,$6.99 
082000789550,✨Crown Royal Blackberry Flavored Whisky - 750ml  ,$39.99 
024622510730,✨Pepe's Duros Chile Limon - 2.75oz,$1.79 
811538010146,1800 Blanco  1 L,$40.99 
080432500187,Jameson 1.75L,$67.99 
02896223,Marlboro Menthol 72,$9.99 
077079007360,✨Hot & Spicy Pork Rinds - 50g  ,$1.49 
088076188549,✨Johnnie Walker Red Label Scotch Whisky - 1.75L   ,$47.99 
08860236,Gordons Dry Gin 750ml,$13.99 
7702055000013,Blanco Del Valle 375ml,$9.99 
09055138,Maverick Green L,$8.39 
088004010720,Dobra Vodka 1.75L,$12.99 
086767210043,Baileys 1L,$40.99 
856724006015,Casamigos Anejo 750ml,$63.99 
082000791980,Deleon Repo 750ml,$52.99 
086036815672,Christian Brothers VS ,$5.99 
012354004290,19 Crimes Cali Red 750ml,$14.99 
811538010764,Jose Cuervo Repo 1.75L,$44.99 
088004045487,✨Paul Masson VSOP Brandy - 750ml ,$14.99 
085000019511,Amsterdam 1.75L,$23.99 
815829010068,Cayman Jack 11.2oz 6pk BT,$11.99 
021296006002,Paul Masson 1L,$13.99 
617768151754,Svedka Mango Pineapple 750ml,$12.99 
088004146689,Fireball 750ml,$16.99 
09055934,Winston Gold S,$9.49 
085000003930,E&J VSOP 1.75L,$25.99 
,Ice Cup,$0.60 
084380360947,Pennsylvania Dutch Egg Nog 750ml,$12.99 
088004020835,✨Benchmark 8 Year Old Bourbon Whiskey - 1L ,$11.99 
088076187245,✨Buchanan's Pineapple Scotch Whisky - 750ml       ,$44.99 
096749908011,✨Lunazul Reposado Tequila - 1.0L  ,$27.99 
085000020326,New Amsterdam Red Berry 750ml,$14.99 
083089524001,Jagermeister 750ml,$24.99 
716165177111,Raw Cone ,$2.39 
085000034194,New Amsterdam Passionfruit 750ml,$14.99 
091585041137,✨Clipper Refillable Lighter - 1 Piece   ,$1.39 
811538011211,Jose Cuervo Classic Margarita Mix 1L,$5.99 
685701242678,Gautier VS 750ml,$29.99 
080432113028,Martel VS 100 ml,$4.99 
,Soda 2L,$3.69 
080660957111,Modelo Especial Can 12oz 18pk ,$29.99 
085000021347,New Amsterdam Coconut 200ml,$4.59 
071610203099,Backwoods Banana 5 pk ,$6.99 
01239332,Camel Crush Menthol,$9.99 
664858000126,Aguardiente Anti SiNAzucar 375ml,$9.99 
082000783534,Smirnoff Spicy Tamarind 750ml,$15.99 
089540449326,Malibu 1.75L,$30.99 
649188900360,✨Grand Marnier Liqueur - 50ml         ,$3.99 
080660956411,Corona Extra 24oz,$3.59 
021296620253,Paul Masson Apple 375,$5.99 
018200069918,Michelob Ultra 12pk Cans,$19.99 
088004045722,✨Paul Masson Red Berry Brandy - 750ml   ,$10.99 
018200250002,Budweiser 24oz CN,$3.59 
086036815559,✨The Christien Brothers VS Brandy - 1.0L   ,$13.99 
01806328 (B1),Busch 16oz 6pk CN,$7.99 
850015640056,Teremana Repo 1L,$42.99 
080432401606,Seagram Lime Twst Gin 750ml,$14.99 
087236657994,Ponche Kuba Cream 750ml,$18.99 
096749021543,Evan Williams 200ml,$4.99 
096749021147,Evan Williams 1.75L,$25.99 
080660118086,99 Bananas 200 ml ,$3.39 
083089660358,Jagermeister 375ml,$13.99 
085000024874,✨New Amsterdam Apple Vodka - 750ml,$14.99 
088004034412,✨Torada Gold Tequila - 1.0L    ,$9.99 
,Incense Long,$3.29 
076737122599,✨Everfresh Piña Colada Juice - 16oz,$2.39 
021296006514,Paul Masson 100 ml ,$2.29 
08273109,✨Don Julio 1942 Tequila - 50ml          ,$17.99 
02830324,Marlboro Smooth 100 L,$9.99 
080480005276,Bacardi Black 375ml,$8.99 
835229000209,Absolut 375ml,$13.99 
617768141755,Svedka Starwberry Lemonade 750ml,$12.99 
018200255052,Ritas Strawberry Beer - 25oz,$3.59 
088076174641,Old Parr 12yr 750ml,$31.99 
700118827949,✨Brain Vodka - 1L           ,$5.99 
021296620215,Paul Masson Pineapple 750ml,$10.99 
811538014236,Gran Centenario Repo 750ml,$31.99 
812615001712,Supreme G Cigar ,$2.99 
080686006060,Jim Beam Honey 750ml,$18.99 
810845030045,Carolans Irish Cream 750ml,$16.99 
096749021345,Evan Williams 750ml,$13.99 
080432400364,Chivas Regal 12 yrs 200ml,$11.99 
087236002411,Remy Martin 1738 200ml,$21.99 
085000023150,New Amsterdam Mango 100ml ,$2.29 
085000030004,New Amsterdam Watermelon 200ml,$4.59 
018200059896,Michelob Ultra 12oz 6pk BT,$10.39 
088004144708,Fireball Shots 50 ml ,$1.29 
